지진ID,구분,구분명,전송시각,진원시,위도 (단위:`N),경도 (단위:`E),규모 (리히터 기준),진앙지,등록일자,깊이 (단위:KM)
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-21.26,171.36,6,바누아투 포트빌라 남동쪽 506km 해역 ,2022-12-29 2:00,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.51,128.65,2.6,경북 안동시 남서쪽 10km 지역,2022-12-25 19:35,14
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.12,121.18,5.2,대만 화롄 남남서쪽 100km 지역,2022-12-24 6:33,13
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.14,125.08,2.3,전남 신안군 흑산도 북북서쪽 61km 해역,2022-12-23 19:48,
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.3,129.22,2.1,북한 함경북도 길주 북북서쪽 39km 지역,2022-12-16 12:55,26
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.77,121.78,6.2,대만 화롄 남동쪽 31km 해역,2022-12-15 13:18,6
2.02E+11,3,국외지진,2.02E+11,2.02E+13,51.73,178.65,6.3,미국 알래스카 아닥 서쪽 324km 해역,2022-12-15 4:09,84
2.02E+11,3,국외지진,2.02E+11,2.02E+13,27.6,129.5,6,일본 오키나와현 오키나와 북동쪽 237km 해역,2022-12-13 23:35,30
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.77,129.8,2.9,울산 북구 동북동쪽 45km 해역,2022-12-03 13:26,21
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.17,128.27,3.2,경북 김천시 동북동쪽 14km 지역,2022-12-01 15:22,14
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.43,125.63,2.1,북한 황해북도 사리원 남서쪽 14km 지역,2022-11-29 6:04,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-9.8,159.57,7.3,솔로몬제도 호니아라 남서쪽 58km 해역,2022-11-22 11:21,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.29,129.22,2,북한 함경북도 길주 북북서쪽 38km 지역,2022-11-20 16:22,11
